No ,Nama Video ,link Video ,
1,Tata Cara Registrasi ,https://www.instagram.com/p/DFroPVuoWqw/,https://www.youtube.com/watch?v=4EQM4gjRflo&t=161s
2,Tahapan Merubah Password ,https://www.instagram.com/p/DFvDjloIsob/,
3,Apabila Forgot Password ,https://www.instagram.com/p/DFw9uPMIDKn/,
4,Tahapan Login Aplikasi Maslam,https://www.instagram.com/reel/DF2D9A8o1il/,
,,,
,Profile Masjid,,
5,Cara Mengunggah Foto di Maslam,https://www.instagram.com/p/DF69mGbImrX/,
6,Cara Menginput dan Mengelola Fasilitas Lembaga,https://www.instagram.com/p/DF99F6_ol8q/,
7,Cara Untuk Mengubah Lokasi Lembaga,https://www.instagram.com/reel/DGANgprIDpE/,
8,Cara Edit Profile Lembaga di Aplikasi Maslam,https://www.instagram.com/reel/DGJb5cuovUe/,
9,Pengaturan Akses Laporan Keuangan Maslam,https://www.instagram.com/p/DGNMu4gIAHZ/,
10,Cara Menambah dan Menginput Sosial Media,https://www.instagram.com/reel/DGC0YN8Inkz/,
11,Cara Menambah Periode dan Data Pengurus,https://www.instagram.com/reel/DGDnfURIcUk/,
12,"Pengelolaan Kas, Bank dan Qris",https://www.instagram.com/reel/DGRErDxoN-t/,
13,Cara Setting Mobile Printer,https://www.instagram.com/reel/DGyprIIIvoG/,
,,,
,Modul Kegiatan,,
14,Pembicara,https://www.instagram.com/reel/DGvGp-coPNq/,
15,Kegiatan,https://www.instagram.com/reel/DGdbftVohQm/,
16,Kegiatan Jumatan,secara prinsip input datanya sama dengan Kegiatan,
17,Kegiatan Rutin,https://www.instagram.com/reel/DGf-hxvIoo1/,
,,,
,Modul Warga,,
18,Cara Menginput Warga,https://www.instagram.com/reel/DGmxyYoI4sD/,
,,,
,Modul Ziswaf,,
19,Kategori Ziswaf,https://www.instagram.com/p/DGpzzKzowm_/,
20,Projek ,https://www.instagram.com/reel/DGvHOByIWJY/,
21,Penerimaan Ziswaf Standard,https://www.instagram.com/p/DGyDeaOSxt-/,
22,Penerimaan Ziswaf Ber-Projek,https://www.instagram.com/reel/DGz3wc-I_fG/,
23,Penerimaan Ziswaf Dengan Presentase Amilin,https://www.instagram.com/reel/DHAvkXzIbv2/,
24,Penerimaan Ziswaf Non Uang Dan Non Beras,https://www.instagram.com/reel/DG49rNHoSJA/,
25,Pembatalan Data Penerimaan Ziswaf,https://www.instagram.com/reel/DG5RkODoPr8/,
26,Distribusi Ziswaf,https://www.instagram.com/reel/DHGp_5Woy0U/,
27,Pengelolaan Barang Wakaf Titipan,https://www.instagram.com/reel/DIP4cMQIiTi/,
,,,
,Idul Fitri,,
28,Idul Fitri,https://www.instagram.com/reel/DHeepnYoXzp/,
29,Jadwal Tarawih,,
30,Penerimaan Ziswaf Untuk Zakat Fitrah,https://www.instagram.com/reel/DHDRDVlIs48/,
31,Pembelian Beras Zakat Fitrah,,
32,Distribusi Ziswaf Zakat Fitrah,https://www.instagram.com/reel/DHJQPjLogyU/,
,,,
,Modul Keuangan,,
33,Kreditur,https://www.instagram.com/reel/DHUSMP1Iue3/,
34,Kategori Pendapatan,https://www.instagram.com/reel/DHMfJB7oamX/,
35,Kategori Biaya ,https://www.instagram.com/reel/DHMT-SFoItn/,
36,Kategori Pinjaman Warga,https://www.instagram.com/reel/DHSq5KGo06l/,
37,Kas Bank,https://www.instagram.com/reel/DHSiX4YofJy/,
38,Pinjaman Lembaga,https://www.instagram.com/reel/DHUSjvGIktb/,
