file,line_count,sha16,first_line,last_line,wf_mstr_hits,glt_det_hits,insert_log_hits,messagebox_hits,todo_hits
Alfa Solution/Alfa.Project/Module/Administrative Tools/FUserGroup.designer.vb,2179,997793b844a97a04,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Administrative Tools/FUserGroup.resx,531,3ee8cc14e25cba0a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Administrative Tools/FUserGroup.vb,1996,56d48685d452c8d5,﻿Imports master_new.ModFunction,,0,0,4,93,0
Alfa Solution/Alfa.Project/Module/Administrative Tools/w_reset_password.Designer.vb,75,392959eb8f54461d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Administrative Tools/w_reset_password.resx,120,f601cd30780a3718,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Administrative Tools/w_reset_password.vb,64,2bd33b37219dfe91,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,3,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInvReportByDate.designer.vb,931,1a8bc701e8a07f9c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInvReportByDate.resx,126,e99f9da1e93d2bb9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInvReportByDate.vb,1093,dd7de291558824df,﻿Imports master_new.ModFunction,End Class,0,0,0,4,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemAVGCost.designer.vb,859,cc25f1b3a5da1862,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemAVGCost.resx,129,2514c8f50c975d4a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemAVGCost.vb,1721,4975fbcbeffa4a1b,﻿Imports Devart.Data.PostgreSql,,0,0,1,36,0
Alfa Solution/Alfa.Project/Module/Distribution/Inventory Control/FInventoryChangeItemAVGCostReport.designer.vb,253,31f3c018a149fb3b,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
