file,line_count,method_count
"Alkindo Solution/AlkindoPT.Project/Module/Distribution/Transaction/FInventorySlitting_new_WIP2.designer.vb",2162,3
"Alkindo Solution/AlkindoPT.Project/Module/Distribution/Transaction/FInventorySlitting_new_WIP2.resx",132,0
"Alkindo Solution/AlkindoPT.Project/Module/Distribution/Transaction/FInventorySlitting_new_WIP2.vb",4712,71
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRGatepassSub.designer.vb",325,3
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRGatepassSub.resx",219,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRGatepassSub.vb",8,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting.designer.vb",953,3
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting.resx",585,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting.vb",108,4
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting_LOT.designer.vb",971,3
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting_LOT.resx",591,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting_LOT.vb",108,4
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPB.designer.vb",89,3
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPB.resx",144,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPB.vb",63,2
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPBGSub.designer.vb",493,3
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPBGSub.resx",255,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPBGSub.vb",71,4
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPBSub.designer.vb",825,3
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPBSub.resx",354,0
"Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPBSub.vb",69,4
