file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Alkindo Solution/AlkindoPT.Project/Module/Distribution/Transaction/FInventorySlitting_new_WIP2.designer.vb,2161,639002a41b44c1c5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Distribution/Transaction/FInventorySlitting_new_WIP2.resx,132,cf07601346e896aa,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Distribution/Transaction/FInventorySlitting_new_WIP2.vb,4711,c32d7ba46f1bdf1d,﻿Imports Devart.Data.PostgreSql,End Class,0,8,2,91,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRGatepassSub.designer.vb,324,86d08391bdc3d110,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRGatepassSub.resx,219,2a21f7424d73dfdf,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRGatepassSub.vb,8,f101db7ccd963b92,Imports DevExpress.XtraPrinting,End Class,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting.designer.vb,952,23f39e3838eac29c,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting.resx,585,d90612c47c5ae4d2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting.vb,108,dc5ce6b5a1ccf545,Imports master_new.ModFunction,End Class,0,0,1,4,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting_LOT.designer.vb,970,a2b36e6f115b6a79,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting_LOT.resx,591,a569326ab48852a9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRInventorySlitting_LOT.vb,108,5083b50f1005650b,Imports master_new.ModFunction,End Class,0,0,1,4,0
Alkindo Solution/AlkindoPT.Project/Module/Manufacture/Print Out/XRLabelHCPB.designer.vb,88,6c6cc3481c7074bf,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
