file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Alkindo Solution/Alkindo/App.config,6,bbc3a41050a98d04,"﻿<?xml version=""1.0"" encoding=""utf-8"" ?>",</configuration>,0,0,0,0,0
Alkindo Solution/Alkindo/Form1.Designer.vb,31,05810cc76ccd5eb2,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/Alkindo/Form1.vb,3,c41262653db1676b,﻿Public Class Form1,End Class,0,0,0,0,0
Alkindo Solution/Alkindo/My Project/Application.Designer.vb,38,da426a38d90c749d,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alkindo Solution/Alkindo/My Project/AssemblyInfo.vb,35,a66f9bb6f3e172eb,﻿Imports System,"<Assembly: AssemblyFileVersion(""1.0.0.0"")>",0,0,0,0,0
Alkindo Solution/Alkindo/My Project/Resources.Designer.vb,62,bb4a37bb404c6036,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alkindo Solution/Alkindo/My Project/Resources.resx,117,4e124f5a7694ffe8,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/Alkindo/My Project/Settings.Designer.vb,73,2af13de5ad057543,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/FCorrectionData.designer.vb,727,f153fdcf175b0cba,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/FCorrectionData.resx,129,ad96bb8dc51b1496,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/FCorrectionData.vb,1760,42a6264729caf027,﻿Imports Devart.Data.PostgreSql,End Class,4,0,0,49,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/FUserGroup.designer.vb,2067,436cbad6ee993df9,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/FUserGroup.resx,528,e1aebab4fb403087,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/FUserGroup.vb,1949,1cf02c89d8cf1c08,﻿Imports Devart.Data.PostgreSql,,0,0,4,93,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/w_reset_password.Designer.vb,75,5daab902da284a8d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/w_reset_password.resx,120,f601cd30780a3718,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Administrative Tools/w_reset_password.vb,57,5628680a0c09c3d7,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,3,0
Alkindo Solution/Alkindo.Project/Module/Distribution/Document/FDocumentIssues.designer.vb,875,1c51a786443fdc69,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alkindo Solution/Alkindo.Project/Module/Distribution/Document/FDocumentIssues.resx,129,0e13711fc768c8e0,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
