file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
AQI Solution/AQI.Project/Module/Basic Setup/FCodeSetting.designer.vb,714,4e71885068c26637,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/FCodeSetting.resx,129,1ce6b627111cd7d1,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/FCodeSetting.vb,580,b577b556fbec116b,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,16,0
AQI Solution/AQI.Project/Module/Basic Setup/XRDocumentApprovalSub.designer.vb,230,4f654bf9bb47e57f,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/XRDocumentApprovalSub.resx,202,e7cc93451b321ac5,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,1,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/XRDocumentApprovalSub.vb,28,2a15aa902d2b737c,Public Class XRDocumentApprovalSub,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/XRRoutingApproval.designer.vb,196,2e2254e278bb5da8,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/XRRoutingApproval.resx,148,ad0525209defa018,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,1,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/XRRoutingApproval.vb,3,6e988e86f2a2a897,Public Class XRRoutingApproval,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/frmExport.designer.vb,61,6f1eafce3a4851d8,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/frmExport.resx,120,f601cd30780a3718,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/Module/Basic Setup/frmExport.vb,3,45f406382ddae28b,﻿Public Class frmExport,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoice.Designer.vb,1304,6e25182f10b0fc68,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoice.resx,732,2166da821b6991e4,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoice.vb,125,ee42156849cf2f8d,Imports DevExpress.XtraPrinting,End Class,0,0,1,5,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoiceDisc2.designer.vb,1616,2f7bae8e83161d97,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoiceDisc2.resx,126,b1c202eee7c11405,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoiceDisc2.vb,169,abfc8cddbde6f32f,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
AQI Solution/AQI.Project/Module/Financial/AR Invoice/Printout/XRInvoiceDistLine2.designer.vb,1165,47b78fd8c1765d1a,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
