file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/DS_POReceiptScale.Designer.vb,1433,828875a7bba95b37,﻿'------------------------------------------------------------------------------,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/DS_POReceiptScale.xsd,53,ad5351ccb7dc0be3,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/FPurchaseOrder.Designer.vb,1981,4115e27630560e35,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/FPurchaseOrder.resx,132,5ef9cebd1e310deb,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/FPurchaseOrder.vb,6023,ecc64f17751b8cdd,﻿Imports DevExpress.XtraExport,,13,8,9,104,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/FPurchaseReceipt.designer.vb,1107,2650baf36cb67191,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/FPurchaseReceipt.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/FPurchaseReceipt.vb,2259,d80cf8dbd2fb527c,﻿Imports Devart.Data.PostgreSql,End Class,0,2,6,42,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.Designer.vb,1404,6a67535abe7861f1,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.vb,158,bb9bf171132c3a53,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptPrint.designer.vb,707,8e63026628db474b,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptPrint.resx,555,685ce24055bb9ba9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptPrint.vb,108,1245744be9d46947,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptScalePrint.Designer.vb,813,b9576df7fd0ecf39,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptScalePrint.resx,549,66dcd6eb66079050,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/XRPurchaseReceiptScalePrint.vb,108,3ca757d887bfd6f9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/ds_po_printout.designer.vb,3546,0cce1d0cf4714982,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/ds_po_printout.vb,3,bd62149bbfb25def,﻿Partial Class ds_po_printout,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Distribution/Purchase Order/ds_po_printout.xsd,7,fb6eceb36222a59a,"﻿<?xml version=""1.0"" encoding=""utf-8""?>","<Connection AppSettingsObjectName=""MySettings"" AppSettingsPropertyName=""odbc_sygma_7"" IsAppSettingsProperty=""true"" Modifier=""Assembly"" Name=""odbc_sygma_7 (MySettings)"" PropertyReference=""ApplicationSettings.Alfa.MySettings.GlobalRef",0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoice.Designer.vb,1317,f1642771775ca9fb,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoice.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoice.vb,125,ee42156849cf2f8d,Imports DevExpress.XtraPrinting,End Class,0,0,1,5,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDisc2.designer.vb,1668,64f1cc82e7f6809c,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDisc2.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDisc2.vb,169,abfc8cddbde6f32f,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine.designer.vb,1150,ca564fefa470ba22,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine.resx,648,4ea9bd8ee3b08f51,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine.vb,110,be96c10c59b26974,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine2.designer.vb,1153,904fad400b6968ad,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine2.resx,651,d02837daded01a2f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/XRInvoiceDistLine2.vb,120,fa9f7ee773abccd9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice.Designer.vb,4522,ad477be6b48a1c2f,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice.xsd,604,03f2c8e24adaa67f,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
Asvia Solution/ASVIA.Project/Module/Financial/Account Receiveable/Print Out/ds_invoice2.Designer.vb,648,1ad7e3cdba31259d,﻿'------------------------------------------------------------------------------,End Class,0,0,0,0,0
