file,line_count,method_count
"Grafindo Solution/Grafindo.Project/Module/Administrative Tools/FUserGroup.designer.vb",1993,3
"Grafindo Solution/Grafindo.Project/Module/Administrative Tools/FUserGroup.resx",479,0
"Grafindo Solution/Grafindo.Project/Module/Administrative Tools/FUserGroup.vb",1809,44
"Grafindo Solution/Grafindo.Project/Module/Administrative Tools/w_reset_password.Designer.vb",76,3
"Grafindo Solution/Grafindo.Project/Module/Administrative Tools/w_reset_password.resx",120,0
"Grafindo Solution/Grafindo.Project/Module/Administrative Tools/w_reset_password.vb",64,4
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FBookSize.Designer.vb",333,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FBookSize.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FBookSize.vb",282,13
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FGeneratePackingList.designer.vb",927,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FGeneratePackingList.resx",135,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FGeneratePackingList.vb",2683,36
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequest.Designer.vb",1090,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequest.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequest.vb",2350,49
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequestReport.Designer.vb",200,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequestReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequestReport.vb",161,8
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryTransferReport.Designer.vb",233,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryTransferReport.resx",123,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryTransferReport.vb",302,9
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FPackingList.designer.vb",789,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FPackingList.resx",132,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FPackingList.vb",1810,27
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FTransferIssues.Designer.vb",1605,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FTransferIssues.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FTransferIssues.vb",4103,58
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FTransferIssuesPackingList.Designer.vb",1677,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FTransferIssuesPackingList.resx",129,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FTransferIssuesPackingList.vb",4512,60
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRBoxLabelPackingList.designer.vb",132,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRBoxLabelPackingList.resx",155,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRBoxLabelPackingList.vb",31,2
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRCheckPackingList.designer.vb",747,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRCheckPackingList.resx",552,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRCheckPackingList.vb",44,4
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRInventoryReqPrint.designer.vb",1021,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRInventoryReqPrint.resx",642,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRInventoryReqPrint.vb",108,4
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRPreparationPackingList.designer.vb",807,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRPreparationPackingList.resx",570,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRPreparationPackingList.vb",47,4
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRPreparationPackingList2.designer.vb",821,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRPreparationPackingList2.resx",126,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRPreparationPackingList2.vb",50,4
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSubBoxLabel.designer.vb",766,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSubBoxLabel.resx",534,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSubBoxLabel.vb",31,2
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSubTransferIssuesPacklist.Designer.vb",126,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSubTransferIssuesPacklist.resx",120,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSubTransferIssuesPacklist.vb",3,0
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSummaryPrepPackList.designer.vb",752,3
"Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/XRSummaryPrepPackList.resx",555,0
