file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Grafindo Solution/Grafindo.Project/Module/Administrative Tools/FUserGroup.designer.vb,1992,d7b935e7031b31eb,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Administrative Tools/FUserGroup.resx,479,1de4dafacad879ac,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Administrative Tools/FUserGroup.vb,1808,c4c7416649c8bbd6,﻿Imports Devart.Data.PostgreSql,,0,0,4,85,0
Grafindo Solution/Grafindo.Project/Module/Administrative Tools/w_reset_password.Designer.vb,75,5daab902da284a8d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Administrative Tools/w_reset_password.resx,120,f601cd30780a3718,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Administrative Tools/w_reset_password.vb,64,2bd33b37219dfe91,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,3,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FBookSize.Designer.vb,332,b7f423c0f778a166,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FBookSize.resx,129,540fbe4ed97e4111,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FBookSize.vb,281,4cc3a0c0acfc862c,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,8,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FGeneratePackingList.designer.vb,926,1dbf2aa17d97c4b4,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FGeneratePackingList.resx,135,422378f1878b300d,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FGeneratePackingList.vb,2682,b5d695f71c2894a6,﻿Imports master_new.PGSqlConn,,0,0,2,28,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequest.Designer.vb,1089,2bbef2bae8b0e941,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequest.resx,129,540fbe4ed97e4111,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequest.vb,2349,0e69e53b23667a60,﻿Imports Devart.Data.PostgreSql,End Class,10,0,7,61,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequestReport.Designer.vb,199,e4c451137d647211,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequestReport.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryRequestReport.vb,160,c10aee2e6fa69913,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryTransferReport.Designer.vb,232,8fbcb7ebb2479e7b,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryTransferReport.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FInventoryTransferReport.vb,301,176a69036bac970b,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Grafindo Solution/Grafindo.Project/Module/Distribution/Inventory Control/FPackingList.designer.vb,788,14b41e9db05cd3c1,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
