file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
SCI Solution/SCI.Project/Module/Basic Setup/FCodeSetting.designer.vb,748,578102036a87475c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/FCodeSetting.resx,129,97727e4715e12d4d,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/FCodeSetting.vb,579,f16d5546dc51a156,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,16,0
SCI Solution/SCI.Project/Module/Basic Setup/XRDocumentApprovalSub.designer.vb,230,4f654bf9bb47e57f,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/XRDocumentApprovalSub.resx,202,e7cc93451b321ac5,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,1,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/XRDocumentApprovalSub.vb,28,2a15aa902d2b737c,Public Class XRDocumentApprovalSub,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/XRRoutingApproval.designer.vb,196,2e2254e278bb5da8,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/XRRoutingApproval.resx,148,ad0525209defa018,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,1,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/XRRoutingApproval.vb,3,6e988e86f2a2a897,Public Class XRRoutingApproval,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/frmExport.designer.vb,61,6f1eafce3a4851d8,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/frmExport.resx,120,f601cd30780a3718,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Basic Setup/frmExport.vb,3,45f406382ddae28b,﻿Public Class frmExport,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableIssue.designer.vb,938,c6403a1733f22c5e,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableIssue.resx,369,f1b26cebf5eed20a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableIssue.vb,109,d73b726a7de9a855,Imports DevExpress.XtraPrinting.XtraPageSettings,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableIssue_LOT.designer.vb,946,4db74f946849e8c9,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableIssue_LOT.resx,375,dd44460e846649a0,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableIssue_LOT.vb,107,7668e27652aeb008,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableRec.designer.vb,917,45360535a507302e,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableRec.resx,366,5ecc583bf7743268,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableRec.vb,108,2b58216ee417ff1b,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableRec_LOT.designer.vb,938,98c3ef2152d061c2,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableRec_LOT.resx,372,25dd0bf7d6ff7cdf,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRConsumableRec_LOT.vb,109,48b79688b2869d1b,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRFGInventoryCutOffPrint.Designer.vb,680,2ac6caf59b9a8352,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRFGInventoryCutOffPrint.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRFGInventoryCutOffPrint.vb,76,f43547bf8f0d78cf,Imports master_new.ModFunction,End Class,0,0,1,3,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvIssue.designer.vb,933,d1b95caf3056db50,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvIssue.resx,609,d5ff46bb01425265,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvIssue.vb,109,bc15d515aa10981c,Imports DevExpress.XtraPrinting.XtraPageSettings,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvIssue_LOT.designer.vb,950,07150f7d90715805,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvIssue_LOT.resx,615,ae0d4ad7d5ea7adb,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvIssue_LOT.vb,107,07fed7665109db2a,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvRec.designer.vb,928,102ac5b0480fc227,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvRec.resx,606,782cf9ffdcc53095,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvRec.vb,108,c4015073a4b0e7b9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvRec_LOT.designer.vb,949,e68d358aa340972a,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvRec_LOT.resx,612,d182119358d79023,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInvRec_LOT.vb,109,eb2bf3da49748e90,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInventoryReqPrint.designer.vb,977,9fa2bfcab752fdcb,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInventoryReqPrint.resx,624,9227df87880b1c01,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRInventoryReqPrint.vb,108,50941085b7f4e312,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRPaletQRCodeLocation.designer.vb,335,dd233d351d778f40,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRPaletQRCodeLocation.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRPaletQRCodeLocation.vb,25,8ea015ff0ef41731,Imports master_new.ModFunction,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRSparepartInventoryCutOffPrint.Designer.vb,497,43b16a5bba76b39d,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRSparepartInventoryCutOffPrint.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRSparepartInventoryCutOffPrint.vb,70,e0a425360b0fc5a9,Imports master_new.ModFunction,End Class,0,0,1,3,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint.Designer.vb,947,079248337aa504ab,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint.resx,600,4f03091fc1b550df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint.vb,108,1c3e3869edd9b33e,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint_LOT.designer.vb,965,892a9d3ebc0b22e0,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint_LOT.resx,606,f3b033490c23e1c5,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint_LOT.vb,108,7b11c3263e14fde8,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/ds_inv_receipt.xsd,22,dd9a2b1c06ab5e3f,"﻿<?xml version=""1.0"" encoding=""utf-8""?>",</xs:schema>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/ds_inv_receipt1.Designer.vb,568,22812e179e2819a0,﻿'------------------------------------------------------------------------------,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/ds_inventory_request.Designer.vb,3183,5998c16c0058f8f7,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Print Out/ds_inventory_request.xsd,7,099206e0b219e76d,"﻿<?xml version=""1.0"" encoding=""utf-8""?>","<Connection AppSettingsObjectName=""MySettings"" AppSettingsPropertyName=""odbc_sygma_7"" IsAppSettingsProperty=""true"" Modifier=""Assembly"" Name=""odbc_sygma_7 (MySettings)"" PropertyReference=""ApplicationSettings.S",0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableIssuesReport.designer.vb,308,4bdd75cc480d1c23,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableIssuesReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableIssuesReport.vb,517,24ad0c97f1a6fc48,﻿Imports System.Runtime.InteropServices,End Class,0,0,0,7,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableReceiptsReport.designer.vb,190,06ded76fa107850a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableReceiptsReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableReceiptsReport.vb,365,16f4b3fe73c40173,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,5,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableReturnReport.designer.vb,190,cf23ce71b72ef735,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableReturnReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FConsumableReturnReport.vb,371,1bfb1fb57da8f3d6,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,5,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FFGReceiptUnplannedReport.Designer.vb,236,1b93100cb03aa7a6,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FFGReceiptUnplannedReport.resx,129,5ec87e5892d511f7,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FFGReceiptUnplannedReport.vb,147,4c16ec97c5836d29,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FHiblowShipmentReport.Designer.vb,236,c1856c11ff7e429e,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FHiblowShipmentReport.resx,129,5ec87e5892d511f7,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FHiblowShipmentReport.vb,258,94c6a0dc9885da35,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDate.designer.vb,883,ac4bdafeb0d625a1,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDate.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDate.vb,1072,4d84042fb9bc268f,﻿Imports master_new.ModFunction,End Class,0,0,0,4,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost.designer.vb,940,6079708d5864eff4,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost.vb,1103,6bc64aea3bc4eeeb,﻿Imports master_new.ModFunction,End Class,0,0,0,9,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v1.designer.vb,858,1cba72e4f67a988a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v1.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v1.vb,1126,cb2202fefb4c7edf,﻿Imports master_new.ModFunction,End Class,0,0,0,9,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v2.designer.vb,858,42c79b240f2b9f74,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v2.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v2.vb,941,9ca9829182277062,﻿Imports master_new.ModFunction,End Class,0,0,0,8,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v3.designer.vb,858,19952c7b4cc23608,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v3.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInvReportByDateWithCost_v3.vb,941,c58b37e12aa83ed6,﻿Imports master_new.ModFunction,End Class,0,0,0,8,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryHistoryWithCost.Designer.vb,301,23213cc6bbe67766,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryHistoryWithCost.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryHistoryWithCost.vb,354,b81f5d61f28e37b0,﻿Imports master_new.ModFunction,End Class,0,0,0,3,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryIssuesReport.designer.vb,218,2b640b53cbe7e67a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryIssuesReport.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryIssuesReport.vb,257,e361dc7ee6ac3727,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryReportDetailFG.Designer.vb,374,8ed1f43c11ab7860,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryReportDetailFG.resx,129,5ec87e5892d511f7,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryReportDetailFG.vb,513,5265fdee2cb0395a,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,6,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryTransferReport.Designer.vb,268,9567e76ae3683700,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryTransferReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FInventoryTransferReport.vb,299,2f18001a8d6bd49c,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FPhysicalInventoryReport.designer.vb,396,20a53752a38d764e,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FPhysicalInventoryReport.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FPhysicalInventoryReport.vb,437,d06847fd214616f7,﻿Imports master_new.ModFunction,End Class,0,0,0,3,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FPhysicalInventorySparepartReport.designer.vb,272,53636e995244ac6c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FPhysicalInventorySparepartReport.resx,126,dd5cae257b69f12b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FPhysicalInventorySparepartReport.vb,138,601965d27f3e8e9a,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FZakRotationReport.Designer.vb,236,7c514d777ad5e53d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FZakRotationReport.resx,129,5ec87e5892d511f7,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Report/FZakRotationReport.vb,140,f6f6f65cb744044c,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Transaction/FActivityMaster.designer.vb,456,91f2dc5b8af299c4,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Transaction/FActivityMaster.resx,126,5f5960fa9c4b2480,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SCI Solution/SCI.Project/Module/Distribution/Inventory/Transaction/FActivityMaster.vb,393,6a35c42940f64d4a,﻿Imports Devart.Data.PostgreSql,,0,0,4,13,0
