file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
SFI Solution/SFI.Project/Module/Distribution/Inventory/Report/FInvReportByDate.designer.vb,905,8b056990d3280c1a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Inventory/Report/FInvReportByDate.resx,126,e99f9da1e93d2bb9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Inventory/Report/FInvReportByDate.vb,1093,15789b9ef9f94afc,﻿Imports master_new.ModFunction,End Class,0,0,0,4,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseOrder.Designer.vb,1965,e78f539ad7f8dec9,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseOrder.resx,132,e4ca043a832d7bcb,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseOrder.vb,6437,8f4da8ea5552573a,﻿Imports DevExpress.XtraExport,,13,8,9,117,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseOrderApproval.designer.vb,1029,6e1afd2d9a3e689d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseOrderApproval.resx,138,ccd6028516e1132e,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseOrderApproval.vb,1517,c6bfe88258923df2,﻿Imports Devart.Data.PostgreSql,End Class,14,0,2,20,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseReturn.Designer.vb,979,20a683914aa1e112,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseReturn.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/FPurchaseReturn.vb,1945,f38dbc949782c957,﻿Imports Devart.Data.PostgreSql,End Class,0,7,3,33,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.designer.vb,1387,05a43295fbd9c323,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/XRPurchaseOrderPrintOut.vb,158,bb9bf171132c3a53,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/XRPurchaseReturnPrint.designer.vb,969,3c84b160e6547834,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/XRPurchaseReturnPrint.resx,615,a1672af25c63cc0f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Purchase Order/XRPurchaseReturnPrint.vb,108,e519c68632fe67d6,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SFI Solution/SFI.Project/Module/Distribution/Qc/FQualityControl.designer.vb,1318,65831a47683a01a1,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Qc/FQualityControl.resx,129,21f04bb96ca2099d,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Qc/FQualityControl.vb,3335,9d076e1fa5ae6746,﻿Imports master_new.PGSqlConn,End Class,0,19,3,46,0
SFI Solution/SFI.Project/Module/Distribution/Qc/XRInspectionPrint.designer.vb,1048,e2cd5ac98aa7a05d,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Qc/XRInspectionPrint.resx,609,5a0563f79ad4be92,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Distribution/Qc/XRInspectionPrint.vb,108,4c30e14874175d23,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/FDRCRMemoPrint.designer.vb,341,95abd94c5bb1191b,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/FDRCRMemoPrint.resx,126,f556f382999c1bee,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/FDRCRMemoPrint.vb,219,0a26446ff4e01de8,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/XRCashInARPrint.designer.vb,1094,4cb43432c093408d,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/XRCashInARPrint.resx,606,0c95dd9471412a34,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/XRCashInARPrint.vb,108,5b1ba678b0a3f2ec,Imports master_new.ModFunction,End Class,0,0,1,4,0
SFI Solution/SFI.Project/Module/Financial/AR Invoice/Print Out/XRInvoiceDisc2.designer.vb,1645,bf61ba245edb6f07,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
