file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
SRI Solution/SRI.Project/Module/Distribution/Inventory/XRTransferIssuesPrint.designer.vb,955,0ab86618be3d874f,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Distribution/Inventory/XRTransferIssuesPrint.resx,594,55e98389d12a0060,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Distribution/Inventory/XRTransferIssuesPrint.vb,107,dddac1a80c46b75c,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
SRI Solution/SRI.Project/Module/Distribution/Inventory/XRTransferIssuesPrint_LOT.designer.vb,974,94d2f1abaa3e294f,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Distribution/Inventory/XRTransferIssuesPrint_LOT.resx,600,fc245e50b3dcfc2e,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Distribution/Inventory/XRTransferIssuesPrint_LOT.vb,107,68665f74cd017d5a,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
SRI Solution/SRI.Project/Module/Financial/account receiveable/print out/XRInvoiceDisc2.designer.vb,1551,17d9e9f65eef1866,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Financial/account receiveable/print out/XRInvoiceDisc2.resx,753,9b271dbff3dec502,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Financial/account receiveable/print out/XRInvoiceDisc2.vb,168,a1d02bb2533b1428,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
SRI Solution/SRI.Project/Module/Master Data/Company/FZEmployee.designer.vb,658,da8f4b056f92be5f,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Master Data/Company/FZEmployee.resx,126,5f5960fa9c4b2480,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Master Data/Company/FZEmployee.vb,482,09bb666b59954927,﻿Imports Devart.Data.PostgreSql,End Class,0,0,5,14,0
SRI Solution/SRI.Project/Module/Sales Order/Transaction/FPOCustomer.designer.vb,1799,ee3a7055b409c2c6,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Sales Order/Transaction/FPOCustomer.resx,135,6c4156810b0671a5,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Sales Order/Transaction/FPOCustomer.vb,3389,f5b5e3f1dc8c0d1c,﻿Imports Devart.Data.PostgreSql,,10,0,7,65,0
SRI Solution/SRI.Project/Module/Sales Order/Transaction/FSalesOrder.Designer.vb,2253,3b0a538a4d0543b1,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Sales Order/Transaction/FSalesOrder.resx,135,6c4156810b0671a5,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Sales Order/Transaction/FSalesOrder.vb,9901,5e9f143aca209da6,﻿Imports System.Globalization,,12,18,7,157,0
SRI Solution/SRI.Project/Module/Sales Order/printout/XRSO.designer.vb,886,f9bc335934d6f194,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
SRI Solution/SRI.Project/Module/Sales Order/printout/XRSO.resx,123,310fd7a8db612c5e,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
SRI Solution/SRI.Project/Module/Sales Order/printout/XRSO.vb,111,0fd8b275e2c903e5,Imports master_new.ModFunction,End Class,0,0,1,4,0
SRI Solution/SRI.Project/Module/Sales Order/printout/ds_so.Designer.vb,2517,f062c36f7f5868d0,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
