file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Starcom Solution/Starcom.Project/Module/Distribution/Boq/FBillOfQuantity.designer.vb,864,452e0a3847d43444,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/FBillOfQuantity.resx,132,e537e92972d9e0df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/FBillOfQuantity.vb,1796,9ebe7bb97a40cbf9,﻿Imports Devart.Data.PostgreSql,End Class,10,0,6,45,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/XRBOQ.designer.vb,747,ee3d6c2d9989fc26,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/XRBOQ.resx,601,ef446fa7235e302b,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/XRBOQ.vb,147,5bbf46e5464490be,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/XRBOQSub.Designer.vb,309,85be1c738d4cfc3c,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/XRBOQSub.resx,238,790a89caa15b54df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Boq/XRBOQSub.vb,3,e0effcb9524b016a,Public Class XRBOQSub,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Inventory Control/FInventoryIssues.Designer.vb,1043,c4ac68cb1fd3d1d1,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Inventory Control/FInventoryIssues.resx,132,c3f8670885f3f324,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Inventory Control/FInventoryIssues.vb,2388,37c123658b17a120,﻿Imports Devart.Data.PostgreSql,End Class,0,7,2,48,0
Starcom Solution/Starcom.Project/Module/Distribution/Inventory Control/Report/FInvReportByDate.designer.vb,757,d6f44f896d20a19a,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Inventory Control/Report/FInvReportByDate.resx,126,68d037a5be6a370f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Inventory Control/Report/FInvReportByDate.vb,1073,42bf914e6d44b2b5,﻿Imports master_new.ModFunction,End Class,0,0,0,4,0
Starcom Solution/Starcom.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseOrderPrintOut.Designer.vb,1402,c39adccd5153ce28,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Starcom Solution/Starcom.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseOrderPrintOut.resx,123,2c0021d993616ca2,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
