file,lines,sha16,first_line,last_line,hit_wf_mstr,hit_glt_det,hit_insert_log,hit_MessageBox.Show,hit_TODO
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvIssue.designer.vb,940,ef4551121785a8ab,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvIssue.resx,609,d5ff46bb01425265,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvIssue.vb,109,bc15d515aa10981c,Imports DevExpress.XtraPrinting.XtraPageSettings,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvIssue_LOT.designer.vb,957,e72433f57f0c89f4,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvIssue_LOT.resx,615,ae0d4ad7d5ea7adb,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvIssue_LOT.vb,107,07fed7665109db2a,Imports Devart.Data.PostgreSql,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvRec.designer.vb,928,9fa5e261db367b24,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvRec.resx,606,782cf9ffdcc53095,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvRec.vb,108,c4015073a4b0e7b9,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvRec_LOT.designer.vb,949,2c678fde1bc4473a,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvRec_LOT.resx,612,d182119358d79023,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRInvRec_LOT.vb,109,eb2bf3da49748e90,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint.Designer.vb,941,e4e8534c96335c52,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint.vb,108,a6010275ac3bcdee,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint_LOT.designer.vb,972,5f68936c84079a66,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint_LOT.resx,120,f4f74dba3578e403,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Print Out/XRTransferIssuesPrint_LOT.vb,108,0465f6152860d771,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Report/FInventoryReportDetail.Designer.vb,295,4450bae3a41f87e3,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Report/FInventoryReportDetail.resx,129,610cc9344ded067a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Report/FInventoryReportDetail.vb,486,2fa2d3bfafa233bf,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,6,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Report/FInventorySafetyStockReport.Designer.vb,272,8744e7e6c7045c12,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Report/FInventorySafetyStockReport.resx,135,5504652835f1439a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Report/FInventorySafetyStockReport.vb,154,c8e98f294b8aa4de,﻿Imports master_new.ModFunction,End Class,0,0,0,1,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryIssues.Designer.vb,1010,1418c582fc8346af,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryIssues.resx,132,58b39dc3af0ae0da,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryIssues.vb,2385,0bca937c3cfddef1,﻿Imports Devart.Data.PostgreSql,End Class,0,7,2,48,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryReceipts.Designer.vb,990,a2ec782f2f7fb881,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryReceipts.resx,129,54e7655676a0e911,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Inventory/Transaction/FInventoryReceipts.vb,2250,2ce05ecd5ef187e2,﻿Imports Devart.Data.PostgreSql,,0,7,2,45,0
Sumplas Solution/Sumplas.Project/Module/Distribution/Purchase Order/Print Out/XRPurchaseOrderPrintOut.designer.vb,1436,262f5d1785bb0578,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
